City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,sai buri,TH,86.0,scattered clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
1,vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,saint-philippe,RE,86.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
4,dabat,ET,63.46,overcast clouds,12.9842,37.765,Haymanot hotel
7,sagaing,MM,82.4,clear sky,21.8787,95.9797,Makara Cruise
10,saiha,IN,77.65,broken clouds,22.4833,92.9667,"Circuit House, Siaha"
11,tuy hoa,VN,74.59,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
12,mahebourg,MU,86.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,butaritari,KI,80.82,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,tiruchchendur,IN,82.4,scattered clouds,8.4833,78.1167,Hotel Udhayam International
15,mahibadhoo,MV,81.84,clear sky,3.7833,72.9667,Omadhoo Inn
16,east london,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
19,la libertad,EC,75.9,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
20,rikitea,PF,78.58,clear sky,-23.1203,-134.9692,Pension Maro'i
22,isangel,VU,86.0,light rain,-19.55,169.2667,Volcano Sea View Tree House
24,puerto ayora,EC,73.99,clear sky,-0.7393,-90.3518,Castillo Galapagos
25,avarua,CK,80.6,haze,-21.2078,-159.775,Paradise Inn
26,bredasdorp,ZA,68.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
28,salinopolis,BR,78.42,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
30,kidal,ML,60.58,overcast clouds,18.4411,1.4078,
31,bluff,NZ,56.64,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,san patricio,US,50.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
34,port elizabeth,ZA,71.6,clear sky,-33.918,25.5701,39 On Nile Guest House
35,tiarei,PF,82.4,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
36,rio pardo de minas,BR,62.01,overcast clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
37,atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
38,saint-pierre,RE,87.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
40,laguna,US,51.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
42,porto santo,PT,59.0,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
43,mataura,NZ,54.88,moderate rain,-46.1927,168.8643,Ellie's Villa
46,byron bay,AU,80.6,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
48,bwanga,TZ,67.62,light rain,-3.0308,31.7601,Sulilu Guest house
49,luwingu,ZM,70.36,light rain,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
52,kruisfontein,ZA,75.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
54,amapa,BR,71.46,overcast clouds,1.0,-52.0,
55,ranong,TH,87.8,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
57,meulaboh,ID,88.07,overcast clouds,4.1363,96.1285,Kost Pria
59,kaitangata,NZ,57.0,light rain,-46.2817,169.8464,Kaitangata Motor Camp
61,airai,TL,66.85,moderate rain,-8.9266,125.4092,Juvinal Martin
64,monrovia,LR,75.2,fog,6.3005,-10.7969,Sunset Inn
65,sao filipe,CV,70.79,few clouds,14.8961,-24.4956,Tortuga B&B
68,kabo,CF,78.78,clear sky,7.6994,18.629,
69,castro,BR,65.64,light rain,-24.7911,-50.0119,CHACARA BAILLY
71,lamu,KE,82.4,few clouds,-2.2717,40.902,Lamu House
