City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,sai buri,TH,2021-01-17 06:42:02,6.7013,101.6168,86.0,62,40,10.36,scattered clouds
1,vaini,TO,2021-01-17 06:33:48,-21.2,-175.2,84.2,84,75,5.75,broken clouds
2,luderitz,NA,2021-01-17 06:34:25,-26.6481,15.1594,68.16,59,0,9.73,clear sky
3,saint-philippe,RE,2021-01-17 06:34:05,-21.3585,55.7679,86.0,66,0,8.05,clear sky
4,dabat,ET,2021-01-17 06:42:02,12.9842,37.765,63.46,31,100,3.67,overcast clouds
5,yellowknife,CA,2021-01-17 06:33:50,62.456,-114.3525,-5.01,77,90,9.22,light snow
6,iqaluit,CA,2021-01-17 06:29:22,63.7506,-68.5145,-4.0,77,90,2.3,light snow
7,sagaing,MM,2021-01-17 06:42:02,21.8787,95.9797,82.4,44,0,4.61,clear sky
8,batagay-alyta,RU,2021-01-17 06:42:02,67.8006,130.4114,-31.32,82,100,1.95,overcast clouds
9,ushuaia,AR,2021-01-17 06:32:01,-54.8,-68.3,48.2,81,40,8.05,scattered clouds
10,saiha,IN,2021-01-17 06:40:06,22.4833,92.9667,77.65,30,52,4.23,broken clouds
11,tuy hoa,VN,2021-01-17 06:42:02,13.0833,109.3,74.59,73,86,17.43,overcast clouds
12,mahebourg,MU,2021-01-17 06:33:51,-20.4081,57.7,86.0,70,75,13.8,broken clouds
13,butaritari,KI,2021-01-17 06:33:57,3.0707,172.7902,80.82,78,56,19.37,broken clouds
14,tiruchchendur,IN,2021-01-17 06:42:03,8.4833,78.1167,82.4,74,40,9.22,scattered clouds
15,mahibadhoo,MV,2021-01-17 06:34:22,3.7833,72.9667,81.84,69,0,5.82,clear sky
16,east london,ZA,2021-01-17 06:33:52,-33.0153,27.9116,73.4,60,0,20.71,clear sky
17,barrow,US,2021-01-17 06:33:51,71.2906,-156.7887,1.4,71,90,21.85,overcast clouds
18,khatanga,RU,2021-01-17 06:33:54,71.9667,102.5,-24.75,85,17,9.86,few clouds
19,la libertad,EC,2021-01-17 06:42:03,-2.2333,-80.9,75.9,82,100,4.85,overcast clouds
20,rikitea,PF,2021-01-17 06:33:49,-23.1203,-134.9692,78.58,73,0,11.9,clear sky
21,qaanaaq,GL,2021-01-17 06:33:55,77.484,-69.3632,2.28,83,0,4.52,clear sky
22,isangel,VU,2021-01-17 06:34:04,-19.55,169.2667,86.0,84,75,3.44,light rain
23,punta arenas,CL,2021-01-17 06:32:15,-53.15,-70.9167,48.2,81,20,13.8,few clouds
24,puerto ayora,EC,2021-01-17 06:31:14,-0.7393,-90.3518,73.99,96,7,7.07,clear sky
25,avarua,CK,2021-01-17 06:33:53,-21.2078,-159.775,80.6,74,88,3.44,haze
26,bredasdorp,ZA,2021-01-17 06:33:52,-34.5322,20.0403,68.0,73,0,4.61,clear sky
27,aklavik,CA,2021-01-17 06:33:59,68.2191,-135.0107,-9.4,77,99,5.75,overcast clouds
28,salinopolis,BR,2021-01-17 06:37:13,-0.6136,-47.3561,78.42,84,100,6.22,overcast clouds
29,medvedka,RU,2021-01-17 06:42:03,61.1629,46.387,-8.3,90,35,5.91,scattered clouds
30,kidal,ML,2021-01-17 06:42:03,18.4411,1.4078,60.58,23,100,10.96,overcast clouds
31,bluff,NZ,2021-01-17 06:33:50,-46.6,168.3333,56.64,71,100,16.44,light rain
32,san patricio,US,2021-01-17 06:33:53,28.017,-97.5169,50.0,76,1,3.44,clear sky
33,lanzhou,CN,2021-01-17 06:37:13,36.0564,103.7922,39.0,38,0,4.5,clear sky
34,port elizabeth,ZA,2021-01-17 06:33:48,-33.918,25.5701,71.6,73,0,16.11,clear sky
35,tiarei,PF,2021-01-17 06:42:03,-17.5333,-149.3333,82.4,69,20,3.44,few clouds
36,rio pardo de minas,BR,2021-01-17 06:42:03,-15.6097,-42.5397,62.01,94,86,4.43,overcast clouds
